grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds
P1,upper,bnu-primary-p1-upper-within-20-add-sub,加与减（二）,short-answer,Core,3,bnu-primary-p1-upper-within-20-add-sub,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-within-20-add-sub,加与减（二）,multiple-choice,Foundation,3,bnu-primary-p1-upper-within-20-add-sub,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-within-20-add-sub,加与减（二）,fill-in,Core,2,bnu-primary-p1-upper-within-20-add-sub,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P1,upper,bnu-primary-p1-upper-within-20-add-sub,加与减（二）,short-answer,Foundation,2,bnu-primary-p1-upper-within-20-add-sub,bnu-primary-p1-upper-assessment-school-readiness-number-sense|bnu-primary-p1-upper-assessment-within-5-add-sub,
P2,lower,bnu-primary-p2-lower-data-recording-review,调查与记录及整理复习,multiple-choice,Core,1,bnu-primary-p2-lower-data-recording-review,bnu-primary-p2-lower-assessment-data-recording|bnu-primary-p2-lower-assessment-division-strengthening,
P2,lower,bnu-primary-p2-lower-data-recording-review,调查与记录及整理复习,fill-in,Foundation,2,bnu-primary-p2-lower-data-recording-review,bnu-primary-p2-lower-assessment-data-recording|bnu-primary-p2-lower-assessment-division-strengthening,
P2,lower,bnu-primary-p2-lower-data-recording-review,调查与记录及整理复习,multiple-choice,Foundation,11,bnu-primary-p2-lower-data-recording-review,bnu-primary-p2-lower-assessment-data-recording|bnu-primary-p2-lower-assessment-division-strengthening,
P2,lower,bnu-primary-p2-lower-direction-position,方向与位置,multiple-choice,Core,3,bnu-primary-p2-lower-direction-position,bnu-primary-p2-lower-assessment-direction-position|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-direction-position,方向与位置,fill-in,Foundation,3,bnu-primary-p2-lower-direction-position,bnu-primary-p2-lower-assessment-direction-position|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-direction-position,方向与位置,short-answer,Core,3,bnu-primary-p2-lower-direction-position,bnu-primary-p2-lower-assessment-direction-position|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-direction-position,方向与位置,multiple-choice,Foundation,2,bnu-primary-p2-lower-direction-position,bnu-primary-p2-lower-assessment-direction-position|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-direction-position,方向与位置,fill-in,Core,2,bnu-primary-p2-lower-direction-position,bnu-primary-p2-lower-assessment-direction-position|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-direction-position,方向与位置,short-answer,Foundation,2,bnu-primary-p2-lower-direction-position,bnu-primary-p2-lower-assessment-direction-position|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-division-strengthening,除法,multiple-choice,Foundation,3,bnu-primary-p2-lower-division-strengthening,bnu-primary-p2-lower-assessment-division-strengthening|bnu-primary-p2-lower-assessment-direction-position,
P2,lower,bnu-primary-p2-lower-division-strengthening,除法,fill-in,Core,3,bnu-primary-p2-lower-division-strengthening,bnu-primary-p2-lower-assessment-division-strengthening|bnu-primary-p2-lower-assessment-direction-position,
P2,lower,bnu-primary-p2-lower-division-strengthening,除法,short-answer,Foundation,3,bnu-primary-p2-lower-division-strengthening,bnu-primary-p2-lower-assessment-division-strengthening|bnu-primary-p2-lower-assessment-direction-position,
P2,lower,bnu-primary-p2-lower-division-strengthening,除法,multiple-choice,Core,2,bnu-primary-p2-lower-division-strengthening,bnu-primary-p2-lower-assessment-division-strengthening|bnu-primary-p2-lower-assessment-direction-position,
P2,lower,bnu-primary-p2-lower-division-strengthening,除法,fill-in,Foundation,2,bnu-primary-p2-lower-division-strengthening,bnu-primary-p2-lower-assessment-division-strengthening|bnu-primary-p2-lower-assessment-direction-position,
P2,lower,bnu-primary-p2-lower-division-strengthening,除法,short-answer,Core,2,bnu-primary-p2-lower-division-strengthening,bnu-primary-p2-lower-assessment-division-strengthening|bnu-primary-p2-lower-assessment-direction-position,
P2,lower,bnu-primary-p2-lower-large-numbers,生活中的大数,multiple-choice,Foundation,3,bnu-primary-p2-lower-large-numbers,bnu-primary-p2-lower-assessment-large-numbers|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-large-numbers,生活中的大数,fill-in,Core,3,bnu-primary-p2-lower-large-numbers,bnu-primary-p2-lower-assessment-large-numbers|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-large-numbers,生活中的大数,short-answer,Foundation,3,bnu-primary-p2-lower-large-numbers,bnu-primary-p2-lower-assessment-large-numbers|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-large-numbers,生活中的大数,multiple-choice,Core,2,bnu-primary-p2-lower-large-numbers,bnu-primary-p2-lower-assessment-large-numbers|bnu-primary-p2-lower-assessment-midterm-integrated,
P2,lower,bnu-primary-p2-lower-large-numbers,生活中的大数,fill-in,Foundation,2,bnu-primary-p2-lower-large-numbers,bnu-primary-p2-lower-assessment-large-numbers|bnu-primary-p2-lower-assessment-midterm-integrated,
